@relation Mall_Customers-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute 'Annual Income (k$)' numeric
@attribute 'Spending Score (1-100)' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,19,15,39,cluster3
1,21,15,81,cluster3
2,64,19,3,cluster0
3,67,19,14,cluster0
4,37,20,13,cluster0
5,22,20,79,cluster3
6,20,21,66,cluster3
7,52,23,29,cluster0
8,35,24,35,cluster3
9,25,24,73,cluster3
10,31,25,73,cluster3
11,29,28,82,cluster3
12,35,28,61,cluster3
13,60,30,4,cluster0
14,53,33,4,cluster0
15,18,33,92,cluster3
16,24,38,92,cluster3
17,48,39,36,cluster0
18,33,42,60,cluster3
19,59,43,60,cluster0
20,47,43,41,cluster0
21,69,44,46,cluster0
22,53,46,46,cluster0
23,70,46,56,cluster0
24,19,46,55,cluster3
25,63,48,51,cluster0
26,18,48,59,cluster3
27,19,48,59,cluster3
28,70,49,55,cluster0
29,59,54,47,cluster0
30,26,54,54,cluster3
31,40,54,48,cluster0
32,57,54,51,cluster0
33,38,54,55,cluster3
34,67,54,41,cluster0
35,48,54,46,cluster0
36,18,59,41,cluster3
37,48,60,49,cluster0
38,24,60,52,cluster3
39,48,61,42,cluster0
40,20,61,49,cluster3
41,67,62,59,cluster0
42,26,62,55,cluster3
43,49,62,56,cluster0
44,54,63,46,cluster0
45,68,63,43,cluster0
46,66,63,48,cluster0
47,65,63,52,cluster0
48,19,64,46,cluster3
49,27,67,56,cluster3
50,39,69,91,cluster1
51,43,71,35,cluster2
52,40,71,95,cluster1
53,59,71,11,cluster0
54,38,71,75,cluster1
55,47,71,9,cluster2
56,39,71,75,cluster1
57,20,73,5,cluster2
58,32,73,73,cluster1
59,19,74,10,cluster2
60,32,75,93,cluster1
61,25,77,12,cluster2
62,28,77,97,cluster1
63,48,77,36,cluster2
64,34,78,90,cluster1
65,43,78,17,cluster2
66,39,78,88,cluster1
67,37,78,1,cluster2
68,34,78,1,cluster2
69,19,81,5,cluster2
70,50,85,26,cluster2
71,42,86,20,cluster2
72,32,87,63,cluster1
73,40,87,13,cluster2
74,28,87,75,cluster1
75,36,87,10,cluster2
76,36,87,92,cluster1
77,58,88,15,cluster2
78,27,88,69,cluster1
79,59,93,14,cluster2
80,35,93,90,cluster1
81,46,98,15,cluster2
82,30,99,97,cluster1
83,28,101,68,cluster1
84,33,113,8,cluster2
85,32,126,74,cluster1
86,32,137,18,cluster2
87,30,137,83,cluster1
88,20,16,6,cluster3
89,23,16,77,cluster3
90,31,17,40,cluster3
91,22,17,76,cluster3
92,35,18,6,cluster0
93,23,18,94,cluster3
94,30,19,72,cluster3
95,35,19,99,cluster3
96,58,20,15,cluster0
97,24,20,77,cluster3
98,35,21,35,cluster3
99,35,23,98,cluster3
100,46,25,5,cluster0
101,54,28,14,cluster0
102,45,28,32,cluster0
103,40,29,31,cluster0
104,23,29,87,cluster3
105,21,30,73,cluster3
106,49,33,14,cluster0
107,21,33,81,cluster3
108,42,34,17,cluster0
109,30,34,73,cluster3
110,36,37,26,cluster0
111,20,37,75,cluster3
112,65,38,35,cluster0
113,31,39,61,cluster3
114,49,39,28,cluster0
115,24,39,65,cluster3
116,50,40,55,cluster0
117,27,40,47,cluster3
118,29,40,42,cluster3
119,31,40,42,cluster3
120,49,42,52,cluster0
121,31,43,54,cluster3
122,50,43,45,cluster0
123,51,44,50,cluster0
124,27,46,51,cluster3
125,67,47,52,cluster0
126,54,47,59,cluster0
127,43,48,50,cluster0
128,68,48,48,cluster0
129,32,48,47,cluster3
130,47,49,42,cluster0
131,60,50,49,cluster0
132,60,50,56,cluster0
133,45,54,53,cluster0
134,23,54,52,cluster3
135,49,54,42,cluster0
136,46,54,44,cluster0
137,21,54,57,cluster3
138,55,57,58,cluster0
139,22,57,55,cluster3
140,34,58,60,cluster3
141,50,58,46,cluster0
142,68,59,55,cluster0
143,40,60,40,cluster0
144,32,60,42,cluster3
145,47,60,47,cluster0
146,27,60,50,cluster3
147,23,62,41,cluster3
148,49,62,48,cluster0
149,21,62,42,cluster3
150,66,63,50,cluster0
151,19,63,54,cluster3
152,38,64,42,cluster2
153,18,65,48,cluster3
154,19,65,50,cluster3
155,63,65,43,cluster0
156,49,65,59,cluster0
157,51,67,43,cluster0
158,50,67,57,cluster0
159,38,67,40,cluster2
160,40,69,58,cluster1
161,23,70,29,cluster2
162,31,70,77,cluster1
163,25,72,34,cluster2
164,31,72,71,cluster1
165,29,73,88,cluster1
166,44,73,7,cluster2
167,35,74,72,cluster1
168,57,75,5,cluster2
169,28,76,40,cluster2
170,32,76,87,cluster1
171,32,77,74,cluster1
172,34,78,22,cluster2
173,44,78,20,cluster2
174,38,78,76,cluster1
175,47,78,16,cluster2
176,27,78,89,cluster1
177,30,78,78,cluster1
178,30,78,73,cluster1
179,56,79,35,cluster0
180,29,79,83,cluster1
181,31,81,93,cluster1
182,36,85,75,cluster1
183,33,86,95,cluster1
184,36,87,27,cluster2
185,52,88,13,cluster2
186,30,88,86,cluster1
187,37,97,32,cluster2
188,32,97,86,cluster1
189,29,98,88,cluster1
190,41,99,39,cluster2
191,54,101,24,cluster2
192,41,103,17,cluster2
193,36,103,85,cluster1
194,34,103,23,cluster2
195,32,103,69,cluster1
196,38,113,91,cluster1
197,47,120,16,cluster2
198,35,120,79,cluster1
199,45,126,28,cluster2
