@relation Mall_Customers_clustered

@attribute Instance_number numeric
@attribute CustomerID numeric
@attribute Gender {Male,Female}
@attribute Age numeric
@attribute 'Annual Income (k$)' numeric
@attribute 'Spending Score (1-100)' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1,Male,19,15,39,cluster0
1,2,Male,21,15,81,cluster1
2,3,Female,20,16,6,cluster2
3,4,Female,23,16,77,cluster3
4,5,Female,31,17,40,cluster3
5,6,Female,22,17,76,cluster3
6,7,Female,35,18,6,cluster3
7,8,Female,23,18,94,cluster3
8,9,Male,64,19,3,cluster1
9,10,Female,30,19,72,cluster3
10,11,Male,67,19,14,cluster1
11,12,Female,35,19,99,cluster3
12,13,Female,58,20,15,cluster3
13,14,Female,24,20,77,cluster3
14,15,Male,37,20,13,cluster1
15,16,Male,22,20,79,cluster1
16,17,Female,35,21,35,cluster3
17,18,Male,20,21,66,cluster1
18,19,Male,52,23,29,cluster1
19,20,Female,35,23,98,cluster3
20,21,Male,35,24,35,cluster1
21,22,Male,25,24,73,cluster1
22,23,Female,46,25,5,cluster3
23,24,Male,31,25,73,cluster1
24,25,Female,54,28,14,cluster3
25,26,Male,29,28,82,cluster1
26,27,Female,45,28,32,cluster3
27,28,Male,35,28,61,cluster1
28,29,Female,40,29,31,cluster3
29,30,Female,23,29,87,cluster3
30,31,Male,60,30,4,cluster1
31,32,Female,21,30,73,cluster3
32,33,Male,53,33,4,cluster1
33,34,Male,18,33,92,cluster1
34,35,Female,49,33,14,cluster3
35,36,Female,21,33,81,cluster3
36,37,Female,42,34,17,cluster3
37,38,Female,30,34,73,cluster3
38,39,Female,36,37,26,cluster3
39,40,Female,20,37,75,cluster3
40,41,Female,65,38,35,cluster3
41,42,Male,24,38,92,cluster1
42,43,Male,48,39,36,cluster1
43,44,Female,31,39,61,cluster3
44,45,Female,49,39,28,cluster3
45,46,Female,24,39,65,cluster3
46,47,Female,50,40,55,cluster3
47,48,Female,27,40,47,cluster3
48,49,Female,29,40,42,cluster3
49,50,Female,31,40,42,cluster3
50,51,Female,49,42,52,cluster3
51,52,Male,33,42,60,cluster1
52,53,Female,31,43,54,cluster3
53,54,Male,59,43,60,cluster1
54,55,Female,50,43,45,cluster3
55,56,Male,47,43,41,cluster1
56,57,Female,51,44,50,cluster3
57,58,Male,69,44,46,cluster1
58,59,Female,27,46,51,cluster3
59,60,Male,53,46,46,cluster1
60,61,Male,70,46,56,cluster1
61,62,Male,19,46,55,cluster1
62,63,Female,67,47,52,cluster3
63,64,Female,54,47,59,cluster3
64,65,Male,63,48,51,cluster1
65,66,Male,18,48,59,cluster1
66,67,Female,43,48,50,cluster3
67,68,Female,68,48,48,cluster3
68,69,Male,19,48,59,cluster1
69,70,Female,32,48,47,cluster3
70,71,Male,70,49,55,cluster1
71,72,Female,47,49,42,cluster3
72,73,Female,60,50,49,cluster3
73,74,Female,60,50,56,cluster3
74,75,Male,59,54,47,cluster1
75,76,Male,26,54,54,cluster1
76,77,Female,45,54,53,cluster3
77,78,Male,40,54,48,cluster1
78,79,Female,23,54,52,cluster3
79,80,Female,49,54,42,cluster3
80,81,Male,57,54,51,cluster1
81,82,Male,38,54,55,cluster1
82,83,Male,67,54,41,cluster1
83,84,Female,46,54,44,cluster3
84,85,Female,21,54,57,cluster3
85,86,Male,48,54,46,cluster1
86,87,Female,55,57,58,cluster3
87,88,Female,22,57,55,cluster3
88,89,Female,34,58,60,cluster3
89,90,Female,50,58,46,cluster3
90,91,Female,68,59,55,cluster3
91,92,Male,18,59,41,cluster1
92,93,Male,48,60,49,cluster1
93,94,Female,40,60,40,cluster3
94,95,Female,32,60,42,cluster3
95,96,Male,24,60,52,cluster1
96,97,Female,47,60,47,cluster3
97,98,Female,27,60,50,cluster3
98,99,Male,48,61,42,cluster1
99,100,Male,20,61,49,cluster1
100,101,Female,23,62,41,cluster3
101,102,Female,49,62,48,cluster3
102,103,Male,67,62,59,cluster1
103,104,Male,26,62,55,cluster1
104,105,Male,49,62,56,cluster1
105,106,Female,21,62,42,cluster3
106,107,Female,66,63,50,cluster3
107,108,Male,54,63,46,cluster1
108,109,Male,68,63,43,cluster1
109,110,Male,66,63,48,cluster1
110,111,Male,65,63,52,cluster1
111,112,Female,19,63,54,cluster3
112,113,Female,38,64,42,cluster3
113,114,Male,19,64,46,cluster1
114,115,Female,18,65,48,cluster3
115,116,Female,19,65,50,cluster3
116,117,Female,63,65,43,cluster3
117,118,Female,49,65,59,cluster3
118,119,Female,51,67,43,cluster3
119,120,Female,50,67,57,cluster3
120,121,Male,27,67,56,cluster1
121,122,Female,38,67,40,cluster3
122,123,Female,40,69,58,cluster3
123,124,Male,39,69,91,cluster1
124,125,Female,23,70,29,cluster3
125,126,Female,31,70,77,cluster3
126,127,Male,43,71,35,cluster1
127,128,Male,40,71,95,cluster1
128,129,Male,59,71,11,cluster1
129,130,Male,38,71,75,cluster1
130,131,Male,47,71,9,cluster1
131,132,Male,39,71,75,cluster1
132,133,Female,25,72,34,cluster3
