Nombre,Texto
Tú no vive así,"Me acostumbré al sour, ya no patea Me llegan a casa, no se capean Solo modelos como Barea Multiplicar cienes es en la tarea Yo soy el cacique en tu propia aldea Valgo más que todo lo que te rodea No te la crea, recuerda que Curry la mete Hasta que Lebron lo galdea Baja pa' la cuesta Que ando con la orquesta, cabrón, no es la sexta Yo nunca estoy abajo en las apuestas y menos en esta Dile a Vico que, de la recta final, estamos en el final de la recta El diablo me inyecta y saco la que suena y los acuesta Otro que se cae por la fuerza de gravedad Otro más por si sobrevive de casualidad Refuta mi tesis, cabrón, te vamos a dar catequesis No he metido un gol y tengo cristianos orándole a Messi Tú ronca' cabrón y tú no vive' así (tú no vive' así) Tu jefa se pasa pendiente de mí (pendiente de mí) Me llama pa' darle y le digo que si Yo soy un hijueputa desde que nací Tú ronca' cabrón y tú no vive' así (tú no vive' así) Tu jeva me llama y le digo que sí (le digo que sí) Yo no voy a cambiar, yo siempre he sido así (sigo a­quí, sigo, sigo a­quí) Yo soy un hijueputa desde que nací Volví, pero pa' meterle al beat Pero cómo que volví, yo no entiendo, si yo nunca me fui Más duro que el bicho mío, jode conmigo y sales partido Tengo un par de hijos, un par de sobrinos El que no me dice papi, me dice tío Respeten los rangos, la posición Cambié la fama por admiración Nunca me quedo sin munición Quieren frontear, pero no tienen condición Sigo mi vida, vivo cabrón Siempre activo en mi maquinón Salí solito del callejón Y le compré una mansión a mami de un millón Tengo la grasa Tengo el piquete que mueve las masas Soy fiel a mi disquera Por eso to' el mundo pregunta qué pasa Arcángel suena Hey, por más que lo bloqueemos Arcángel llena todos los conciertos Y nosotros no lo tenemos Tú ronca' cabrón y tú no vive' así (tú no vive' así) Tu jeva me llama y le digo que sí (le digo que sí) Yo no voy a cambiar, yo siempre he sido así (nunca) Yo soy un hijueputa desde que nací Tú ronca' cabrón y tú no vive' así (tú no vive' así) Tu jeva se pasa pendiente de mí (pendiente de mí) Me llama pa' darle y le digo que si (le digo que nací) Yo (soy un hijueputa desde que nací) Hoy salimos de noche con todos los muchachos Puestos pa' la hisetería Estos cabrones me roncan de palo Y nosotros, dueños de la ferretería Andamos con to' los rosarios sin saber el Ave María Me roncan, me roncan, me roncan, me roncan Y están como Meek Mill, sin batería No fallamos un gancho Hoy si me toma el engancho Nos metemos a tu rancho Y en la cara te hacemos un hueco ancho ¿Qué si soy maleante? Cabrón, yo no sé Lo que sé Es que los nervios no existen después de 2 percocet Hoy no hay escusa, y si se saca, se usa Si mi 40 fuera Versache, en la cara te hacemos una medusa La noche es confusa y si conmigo te cruzas Cabrón, te vamo' a dejar brincando como en el Lollapalooza Marihuana, la hooka y pastilla La cubana que te dejo grilla'o Hoy te ponemos en capilla Aunque ande con la familia comiendo empadilla Todavía no ha nacido alguien que lo haga cómo yo Si no te pillo en PR, te pillo en los 2000 New York Austin, baby (oh shit) Bad Bunny, El Conejo Malo Y yo soy El Duende Malvado (Hear This Music) O sea que nos quedó cabrón Díselo Luian, Mambo Kingz"
A tu merced,"Yeh, yeh, yeh, yeh Yeh, yeh, ey Tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed, eh Dime qué vamo' a hacer Que tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed Ey, ey, ey Y ella' están buena', pero tú 'tás mejor (mejor) Traje pasto y alcohol Por ti les picheo, las tengo en hold (en hold) Y yo detrás de ti, como un chambol Y si quiere', te busco en la Lamborghi Si te lo hago tan chulo, como Anuel a Karol G Quiere' perreo, no balada Tú ere' una pitcher, pero yo estoy puesto pa' la nueva entrada menúbuscar A Tu Merced Bad Bunny Yeh, yeh, yeh, yeh Yeh, yeh, ey Tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed, eh Dime qué vamo' a hacer Que tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed Ey, ey, ey Y ella' están buena', pero tú 'tás mejor (mejor) Traje pasto y alcohol Por ti les picheo, las tengo en hold (en hold) Y yo detrás de ti, como un chambol Y si quiere', te busco en la Lamborghi Si te lo hago tan chulo, como Anuel a Karol G Quiere' perreo, no balada Tú ere' una pitcher, pero yo estoy puesto pa' la nueva entrada ¿Y qué? ¿Qué? ¿Qué quiere' hacer? Yo hago lo que tú diga' Ese culo e' grande' liga' Que Dio' te lo bendiga Y dime, ¿qué? ¿Qué? Qué quiere' hacer, yo hago lo que tú diga' Picheale a tu amiga Ey, ey Porque tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed, ey Dime qué vamo' a hacer Es que tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed Ey, ey, ey Yo sé que no ere' fan del romanticismo Y que está' cansada de que esto' cabrone' te digan lo mismo Moviendo el booty, no se va de ritmo Punto diez, en la cama va a haber un sismo Quiero jalarte ese pelito rubio Y darte en cuatro el cuatro de julio Mañana tengo examen, pero tú lo sabe' Que si me llama', no estudio Mami, concédeme esta pieza No somo' na', no somo' na', ey Pero con un perreo se empieza No sale' de mi cabeza Mami, concédeme esta pieza No somo' na', no somo' na', ey Pero con un perreo se empieza No sale' de mi cabeza, ey Y to' los culo' de Miami explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed, eh Dime qué vamo' a hacer Es que tengo un par de babie' explotándome el cel Y yo pensando en ti, estoy a tu merced Tú siempre está' mojada y yo que tengo sed, eh Dime qué vamo' a hacer Eeh, eeh, eeh Yeh, yeh, eh"
Me porto bonito,"Yeah-yeah-yeah-yeah-yeah-yeah Ey En la guagua, se quedó el olor de tu perfume Tú ere' una bellaca, yo soy un bellaco Eso es lo que no' une Ella sabe que está buenota Y no la presumen Si yo fuera tu gato Subiera una foto los vierne' y los lune' (So) Pa' que to' el mundo vea Lo rica que tú está', que tú está' Contigo, tengo que apretar Y en la calle, ando suelto Pero, por ti, me quito Si tú me lo pides Yo me porto bonito Y subo un selfie pa' que vean Lo rica que tú está', que tú está' Las otras tienen que apretar En la calle ando suelto Pero, por ti, me quito Si tú me lo pide' Yo me porto bonito Ey, ey Tú no ere' bebecita Tú ere' bebesota Frikitona, ma', se te nota Le gustan los trío' cuando está en la nota Si el novio no sirve, de una lo bota Y, wow Mami, dime dónde dejo el resume Sé que te dejaste hace un me' Y de una de pecho, me zumbé Si quiere', te hago un bebé O te traigo la' plan B Uff, mami, qué rica tú te ve' Pa' los 2000, escuchaba RBD Y ahora quiere perreo to'a la noche en la pared Te obsesiono, CBD Mami, tú ere' élite, no te me límite' (okey) Déjame hacerte lo que amerite y te levite Dale pa'l escondite, no te me arisque' (So) Que aquí no van a poder llegar lo' satélite' Mami, sube algo Dame contenido Ese culo, súbelo má' seguido Me paso jangueando a ver si coincido, ey Y por fin doy contigo Mai, nuestra' bellaquera', nunca la' olvido Ninguna como tú a mí me ha complacido Tú cree' que a toda' siempre les digo lo mismo Quiere chingar, pero no quiere na' fijo, ey Pero, en confianza, me confiesa Dice que nadie le interesa Pero cuando sale, se pone traviesa Pa' que to' el mundo vea Lo rica que tú está', que tú está', ey Contigo, tengo que apretar Y en la calle ando suelto Pero, por ti, me quito Si tú me lo pide' Yo me porto bonito"
Ojitos lindos,"Hace mucho tiempo le hago caso al corazón Y pasan los día', los mese', pensando en tu olor (en tu olor) Ha llegado el tiempo para usar la razón Ante' que sea tarde y, sin querer, me parta en do' (parta en do') Antes de que salga el Sol, hunde el acelerador Aunque vaya sin freno' y pierda el control Nada más seremos do', tú y yo acariciándono' En medio del tiempo, sin decir adió' Y solo mírame Con esos ojito' lindo' Que, con eso, yo estoy bien Hoy he vuelto a nacer Hace tiempo Que no agarro a nadie de la mano Hace tiempo Que no envío: Buenos días, te amo Pero tú me tiene' enreda'o, me envolví Iba por mi camino y me perdí Mi mirada cambió cuando tus ojos vi Bye-bye a los culo', ni me despedí Yo no te busqué, no Chocamo' en el trayecto Con tu alma es la que yo conecto Tranquila, no tiene que ser perfecto, no Aquí no existe el pecado Y equivocarse es bonito Los errores son placere' Igual que to' tus besito' Y solo mírame Con esos ojito' lindo' Que, con eso, yo estoy bien Hoy he vuelto a nacer Y solo mírame Con esos ojito' lindo' Que, con eso, yo estoy bien Hoy he vuelto a nacer Tú y yo, tú y yo, tú y yo (tú y yo, tú y yo) Tú y yo, tú y yo (tú y yo, tú y yo), tú y yo Tú y yo, tú y yo Tú y yo, tú y yo Yo no me dejo llevar de nadie Yo solo me dejo llevar de tu sonrisa Y del lunar cerquita de tu boca Si yo estoy loco, tú estás loquita Pero, baby, como tú no hay otra, no Quiero regalarte girasole' Ir pa' la playa y buscarte caracole' Cuando estoy contigo, yo no miro el Rolex Vamo' a bailar doscientas cancione' Nadie me pone como tú me pone' Yo le hablo a Dio' y tú ere' Su respuesta Aprendí que los momento' lindo' nunca cuestan Como cuando me regalas tu mirada Y el Sol su puesta, y el Sol su puesta (ey, ey) Cuando estoy encima de ti, de ti Mami, yo me olvido de todo, de todo No hace falta nadie aquí Solamente tú y yo Antes de que salga el Sol, hunde el acelerador Aunque vaya sin freno' y pierda el control Nada más seremos do', tú y yo acariciándono' En medio del tiempo, sin decir adió' Y solo mírame Con esos ojito' lindo' Que, con eso, yo estoy bien Hoy he vuelto a nacer Y solo mírame Con esos ojito' lindo' Que, con eso, yo estoy bien Hoy he vuelto a nacer"
Otro atardecer ,"Aún quedan dos botellas de vino De vino Por si se juntan nuestro' camino' Camino' Y no hay que encontrar el atardecer Hay mucho de mí que te faltó conocer Si la vida me da de nuevo el placer Voy a volverte a besar como aquella ve' Que el Sol se escondió Mientras la noche llegaba No sé qué sucedió Pero me perdí en tu mirada Eh, eh, eh, eh Oh, oh, mami, dime por qué te fuistе Ey, ey, oh, oh, mami, dime qué tú me hicistе Que pasa el tiempo y no te olvido Búscame, ya estoy vestido Hoy, sí o sí, yo me quedo en un cuarto que no es mío Déjame acariciarte hasta quedarno' dormido' Yo haciéndote pose' nueva' y tú improvisando gemido' Eh, eh, eh, eh Tú a mí me gusta' más que el dinero Eh, eh, eh Quiero que te venga' tú primero A vece' me pregunto qué será de tu vida Ojalá un día de esto' me escriba' Hey, you know I'm thinking 'bout you Please stay, 'cause I've been thinking 'bout you Vamo' suavecito, me besa' tan bien Empieza en mi ombligo, termina a mis pies Baby, no te olvido Yo te digo, no te fallaré No sé qué te hizo Pero yo nunca te dejaré Y no hay que encontrar el atardecer Hay mucho de mí que te faltó conocer Si la vida me da de nuevo el placer Voy a volverte a besar como aquella ve' Que el Sol se escondió Mientras la noche llegaba No sé qué sucedió Pero me perdí en tu mirada"
Un verano sin tí,"No sé qué pasó Otro amor que, de repente, fracasó En mi cuarto, está lloviendo, y afuera está el Sol Ey, ey, dime qué pasó Si fui quien falló Sorry por ser yo, ey Y no ser el hombre que te merecías Yo quizá madure, pero en otra vida Nadie estaba listo pa' una despedida Pa' una despedida Y ahora, toca un verano sin ti La estoy pasando bien, no te voy a mentir Pero, a veces, tu nombre no me deja dormir Pensando dе todo' lo' plane' que hicimo' Pero así fuе el destino (ey) Tú sabe' cómo soy, bebé, yo casi no jangueo Y ahora salgo to' los día, pa' ver si te veo Aunque sea de lejito', con la hookah y el perreo Mañana voy a terapia, hoy voy pa'l teteo Otro mensaje que escribo y no envío Pero, por si acaso, lo guardo en mis nota' Alejandro Sanz con el corazón partío' Y yo con el alma rota Tanto' consejo' de amor que ya he dado Pero parece que en mí no funcionan Tal vez alguien ya te ha enamorado Me duele no ser esa persona Ya no son mis chistes los que te dan gracia Ya no soy la razón de tu sonrisa Ya no hay más reguero' dentro de la casa Ni atardeceres en Ibiza A dónde habrá ido aquella mirada Que, sin palabra', todo me decía Te juro que yo no me imaginaba Lo que se sentía ni cómo sería Un verano sin ti"
Tití me preguntó,"Ey Tití me preguntó si tengo muchas novia' Muchas novia' Hoy tengo a una, mañana otra Ey, pero no hay boda Tití me preguntó si tengo muchas novia', je Muchas novia' Hoy tengo una, mañana otra Me la' voy a llevar a to'a pa' un VIP Un VIP, ey Saluden a tití Vamo' a tirarno' un selfie, say cheese, ey Que sonrían las que ya les metí En un VIP, un VIP, ey Saluden a tití Vamo' a tirarno' un selfie, say cheese Que sonrían las que ya se olvidaron de mí Me gustan mucho las Gabriela Las Patricia, las Nicole, las Sofía Mi primera novia en kinder, María Y mi primer amor se llamaba Thalía Tengo una colombiana que mе escribe to' los día' Y una mexicana que ni yo sabía Otra en San Antonio que me quiere todavía Y las de PR que todita' son mía' Una dominicana que es uva bombón Uva, uva bombón La de Barcelona que vino en avión Y dice que mi bicho está cabrón Yo dejo que jueguen con mi corazón Quisiera mudarme con todas pa' una mansión El día que me case, te envío la invitación Muchacho, deja eso, ey Tití me preguntó si tengo muchas novia' Muchas novia' Hoy tengo una, mañana otra Ey, pero no hay boda Tití me preguntó si tengo muchas novia' Ey, ey, muchas novia' Hoy tengo una, mañana otra Tití me preguntó-tó-tó-tó-tó-tó-tó-tó Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (qué pámpara) Tití me preguntó-tó-tó-tó-tó-tó-tó-tó Tití me preguntó-tó-tó-tó-tó (Pero ven acá, muchacho) (¿Y para qué tú quiere' tanta' novia'?) Me la' voy a llevar a to'a pa' un VIP Un VIP, ey Saluden a Tití Vamo' a tirarno' un selfie, say cheese, ey Que sonrían las que ya les metí En un VIP, un VIP, ey Saluden a Tití Vamo' a tirarno' un selfie, say cheese Que sonrían las que ya se olvidaron de mí (Oye, muchacho 'el diablo azaroso) (Suelta ese mal vivir que tú tiene' en la calle) (Búscate una mujer seria pa' ti) (Muchacho 'el diablo) (Coño) Yo quisiera enamorarme Pero no puedo Pero no puedo, eh, eh Yo quisiera enamorarme Pero no puedo Pero no puedo Sorry, yo no confío, yo no confío Nah, ni en mí mismo confío Si quieres quedarte hoy que hace frío Y mañana te va', nah Muchas quieren mi baby gravy Quieren tener mi primogénito, ey Y llevarse el crédito Ya me aburrí, hoy quiero un totito inédito, je Uno nuevo, uno nuevo, uno nuevo, uno nuevo Hazle caso a tu amiga Ella tiene razón Yo voy a romperte el corazón Voy a romperte el corazón Ey, no te enamores de mí No te enamores de mí, ey Sorry, yo soy así, ey No sé por qué soy así Hazle caso a tu amiga Ella tiene razón Yo voy a romperte el corazón Voy a romperte el corazón No te enamores de mí (no) No te enamores de mí (no), no Sorry, yo soy así Ya no quiero ser así, no"
Callaita,"Se acostó temprano, mañana hay que estudiar (eh) Pero llamó a la amiga, diciendo pa' janguear (eh) Tiene un culito ahí que le acabó de textear (eh) Pero en bajita, ella no es de frontear Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Ella no era así, ella no era así No sé quién la dañó Ella no era así, ella no era así No sé quién la dañó, pero Ahora, enrola y lo prende Es panita del que vende, ey Nena mala de repente No sé si me miente Pero sé que tiene más de veinte Los shots de tequila ni los siente Ahora, ve la vida diferente Bueno, pero le gustan delincuentes La baby llega y se siente la presión Ella ni trata y llama la atención Ey, el perreo es su profesión Siempre puesta pa' la misión La baby llega y se siente la presión Ella ni trata y llama la atención Ey, el perreo es su profesión Siempre puesta pa' la misión (E-E-E-E-E) Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Se dejó hace poco y tiene vida nueva Anda con una amiga que es como su jeva Que le trajo 5-12 pa' que se las beba Ella es callaíta', no es que no se atreva Si hay sol, hay playa Si hay playa, hay alcohol Si hay alcohol, hay sexo Si es contigo, mejor Si hay sol, hay playa Si hay playa, hay alcohol Si hay alcohol, hay sexo Si es contigo, mejor Quítate la ropa, que hace calor Días de playa, noches de terror En la gaveta, dejó el temor Pa' las envidiosas, paz y amor Yeh Yeh, yeh-yeh-yeh-eh Tainy, Tainy, ey Bad Bunny, baby, bebé Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Ella es callaíta' Pero pa'l sexo es atrevida, yo sé Marihuana y bebida Gozándose la vida como es Ella no era así, ella no era así No sé quién la dañó Ella no era así, ella no era así No sé quién la dañó, pero (Alócate y hazte mía) (Que la noche lo pidió, el destino lo decidió) (Ya sé que sentías lo mismo que yo y todavía) (Nos queda un ratito, para formar el escándalo) (A menos que no te decidas)"
Moscow mule,"Si yo no te escribo Tú no me escribe', ey Si tú quieres, te busco Yo sé dónde tú vive' Quizá hoy está aborrecía' Pero, por dentro, tú tiene' alegría Si quieres, te la saco Dos trago' y sabes que me pongo bellaco No somo' na', pero estamo' envuelto' hace rato, oh-oh WhatsApp sin el retrato No guarda mi contacto (ey, ey, ey, ey) Pero se la saco Dos trago' y sabes que me pongo bellaco No somo' na', pero estamo' envuelto' hace rato, oh-oh WhatsApp sin el retrato No guarda mi contacto-to Todo es underwater (ey) Baby, vamo' pa'l cuarto quarter En la Uru', comiéndono' al pare' Te voy a dar duro pa' que no me compare' Ey, cuida'o con ese mahón, que se va a romper (ey) Ese booty lo va a romper (ey) Yo no sé si yo te vuelvo a ver Si mañana me voy a perder Tú ere' una player, me hiciste un crossover Esta ve' metiste, me diste game over, eh-eh (huh) Porque no puedo olvidar El perreo, aquel, que se fue viral Dime si mañana te va' a quedar Después de la alarma, te lo voy a dar Ey, hoy tú no va' a trabajar Jeje, no Si quieres, te la saco Dos trago' y sabes que me pongo bellaco No somo' na', pero estamo' envuelto' hace rato, oh-oh WhatsApp sin el retrato No guarda mi contacto Pero se la saco Dos trago' y sabes que me pongo bellaco No somo' na', pero estamo' envuelto' hace rato, oh-oh WhatsApp sin el retrato No guarda mi contacto Me gustan así, piquetu'a Mami, qué rica te ve' desnu'a Quizás no sentiste lo que yo sentí Pero aún te debo una noche en la suite Pa' darte tabla Dale, mami, habla Tú ere' una diablona No te haga' Pa' darte tabla Dale, mami, habla Tú ere' una diablona No te haga' No, no, no, no (no, no, no, no) No, no, no, no (no, no, no, no) No, no, no, no (no, no, no, no) Ey Yo no sé tú Pero yo quisiera amanecer desnu' En una playa por Balí, si no, Cancún Pide otro Moscow Mule Ey Que ando en nota, nota Ven y choca Conmigo que se joda Baby, tú 'tás grandota Pero hoy ando en nota, nota Ven y choca Conmigo que se joda, eh Que se joda, ey Mami, tú quieres perreo (tú quieres perreo) Tú quieres perreo (tú quieres perreo) Tú quieres bellaqueo (tú quieres bellaqueo) Tú quieres bellaqueo (tú quieres bellaqueo) Mami, tú quieres perreo (tú quieres perreo) Tú quieres perreo (tú quieres perreo) Tú quieres bellaqueo (tú quieres bellaqueo) Tú quieres bellaqueo (tú quieres bellaqueo)"
Soy peor,"Salí jodido la última vez que en alguien yo confié Me compré una forty y a cupido se la vacié No me vuelvo a enamorar, no No me vuelvo a enamorar Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor por ti Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor por ti Hoy yo no quiero fumar regular (no, no) Tráiganme un kush que me haga sentir espectacular Para celebrar que ya no estás tú para especular Y joderme por todos los culos que tengo en el celular Hoy se bebe, hoy se sale Ser bueno y fiel ya de nada vale Por mujeres como tú es que dicen Que todos los hombres somos iguales Si no me conoces, no me señales Ya yo me conozco tus males Como Hector El Father, hoy yo salgo Pa' la calle con dos mil anormales Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor, por ti Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor, por ti Por ti Ahora hago todo lo que quiero Solo pienso en mí primero, yeh Tirando billetes adentro del putero Pa'l carajo el amor verdadero Yo solo pienso en hacer dinero Baby, lo nuestro ya descansa en paz Me importa un carajo con quién te vas Dile a tu mai' que ya no me hace falta Que ahora tengo suegras demás Tengo la blanquita que me hace lap dance La roquerita que se lo meto con to' y Vans La prieta, las rubias, modelos Y eso sin contar las fans Yo no estoy para amores de meses No estoy pa' peleas ni estupideces Buscate a otro pa' que te bese Ninguno de esos cabrones a mí se parece Cada cual tiene lo que merece A mami dile que por mi no rece Que yo salgo esta noche virao' pa' la calle Y nadie va a hacer que yo me enderece, yeh Salí jodido la última vez que en alguien yo confié Me compré una forty y a cupido se la vacié No me vuelvo a enamorar, no No me vuelvo a enamorar Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor, por ti Sigue tu camino que sin ti me va mejor Ahora tengo a otras que me lo hacen mejor Si antes yo era un hijueputa, ahora soy peor Ahora soy peor, ahora soy peor, por ti"
