doc_id,filename,Texto,label
1,cd05,"Furthermore , as an encouragement to revisionist thinking , it manifestly is fair to admit that any fraternity has a constitutional right to refuse to accept persons it dislikes .",religion
2,cd05,"The Unitarian clergy were an exclusive club of cultivated gentlemen -- as the term was then understood in the Back Bay -- and Parker was definitely not a gentleman , either in theology or in manners .",religion
3,cd05,"Ezra Stiles Gannett , an honorable representative of the sanhedrin , addressed himself frankly to the issue in 1845 , insisting that Parker should not be persecuted or calumniated and that in this republic no power to restrain him by force could exist .",religion
4,cd05,"Even so , Gannett judiciously argued , the Association could legitimately decide that Parker `` should not be encouraged nor assisted in diffusing his opinions by those who differ from him in regard to their correctness '' .",religion
5,cd05,We today are not entitled to excoriate honest men who believed Parker to be downright pernicious and who barred their pulpits against his demand to poison the minds of their congregations .,religion
6,cd05,"One can even argue -- though this is a delicate matter -- that every justification existed for their returning the Public Lecture to the First Church , and so to suppress it , rather than let Parker use it as a sounding board for his propaganda when his turn should come to occupy it .",religion
7,cd05,"Finally , it did seem clear as day to these clergymen , as Gannett's son explained in the biography of his father , they had always contended for the propriety of their claim to the title of Christians .",religion
8,cd05,Their demand against the Calvinist Orthodoxy for intellectual liberty had never meant that they would follow `` free inquiry '' to the extreme of proclaiming Christianity a `` natural '' religion .,religion
9,cd05,"Grant all this -- still , when modern Unitarianism and the Harvard Divinity School recall with humorous affection the insults Parker lavished upon them , or else argue that after all Parker received the treatment he invited , they betray an uneasy conscience .",religion
10,cd05,"Whenever New England liberalism is reminded of the dramatic confrontation of Parker and the fraternity on January 23 , 1843 -- while it may defend the privilege of Chandler Robbins to demand that Parker leave the Association , while it may plead that Dr. N. L. Frothingham had every warrant for stating , `` The difference between Trinitarians and Unitarians is a difference in Christianity ; ;",religion
11,cd05,"the difference between Mr. Parker and the Association is a difference between no Christianity and Christianity '' -- despite these supposed conclusive assurances , the modern liberal heaves repeatedly a sigh of relief , of positive thanksgiving , that the Association never quite brought itself officially to expel Parker .",religion
12,cd05,"Had it done so , the blot on its escutcheon would have remained indelible , nor could the Harvard Divinity School assemble today to honor Parker's insurgence other than by getting down on its collective knees and crying `` peccavi '' .",religion
13,cd05,"Happily for posterity , then , the Boston Association did not actually command Parker to leave the room , though it came too close for comfort to what would have been an unforgivable brutality .",religion
14,cd05,"Fortunately , the honor of the denomination can attest that Cyrus Bartol defended Parker's sincerity , as did also Gannett and Chandler Robbins ; ;",religion
